# AutoCAD Express Tools LISP 命令库
# 格式: 命令名称|描述|快捷键|命令类型
# 命令类型: lisp(Lisp命令), express(Express工具)

# === Express Tools 命令 ===
ACADINFO|收集AutoCAD安装和当前设置信息，生成系统配置报告文本文件acadinfo.txt||lisp
EXP|排除先前选择集命令，从全图选择中排除上一次选中的对象，保留其余所有对象||lisp
TORIENT|批量旋转文本对象，支持TEXT、MTEXT、ATTDEF及带属性块，可设置绝对旋转角度或自动调整为最||lisp
SHOWURLS|显示图形中所有URL超链接，解锁当前图层和视口后弹出对话框展示链接列表||lisp
ALIASEDIT|启动别名编辑器程序alias.exe，用于编辑和管理AutoCAD命令别名||lisp
ALIGNSPACE|模型空间与图纸空间对齐工具，通过选取两点实现视口内容与图纸精确对齐定位||lisp
ATTOUT|提取块属性数据，将选中带属性块的属性信息输出为制表符分隔的文本文件||lisp
BLOCKTOXREF|将图块转换为外部参照，选择块后指定DWG文件替换为XREF引用||lisp
BREAKLINE|快速创建折断线，通过两点或三点定位，支持自定义折断符号、尺寸和延伸距离设置||lisp
BSCALE|块和外部参照缩放工具，支持相对比例和绝对尺寸设置，图纸空间块可保持固定显示高度||lisp
BURST|炸开属性块，将块参照转换为独立图形对象，属性转换为文本或MTEXT实体||lisp
CDORDER|更改对象绘图顺序，支持对话框和命令行两种模式，调整图形前后显示层次||lisp
CLIPIT|使用多段线、圆、弧线等对象裁剪图像、擦除对象或外部参照/块||lisp
COPYM|增强复制命令，支持重复、定距等分、定数等分和阵列等多种复制方式，可撤销操作||lisp
BCOUNT|统计图块数量，列出所有非匿名、非外部参照块的插入次数，支持全选或部分选择统计||lisp
DDINS2|带对话框的增强插入命令，支持从内部块或外部文件中选择，可预设插入点、比例和旋转角度||lisp
DIMASSOC|修复非关联标注，选择具有非关联文字的尺寸对象，将其恢复为关联标注||lisp
DWGLOG|开关图纸日志记录功能，加载或卸载dwglog.arx程序以启用或禁用DWG文件操作日志||lisp
ETBUG|收集AutoCAD系统信息并发送错误报告，用于向Express Tools团队反馈程序缺陷||lisp
EXOFFSET|增强偏移命令，支持多对象选择、图层设置、多次偏移、撤销及动态修改距离等功能||lisp
EXPLAN|增强平面视图命令，执行平面视图后自动缩放到选中对象的中心，保持缩放距离一致||lisp
EXTRIM|扩展修剪命令，使用多段线、圆、弧线等作为裁剪边，选择一侧进行批量修剪操作||lisp
FASTSEL|快速选择工具，通过链式选择模式批量选取相连对象，可控制选择模式并合并选择集||lisp
FLATTEN|三维转二维工具，将3D几何图形压平到当前UCS的XY平面，可选是否消隐处理||lisp
GATTE|全局属性编辑命令，选择块或属性后批量修改所有同名块的指定属性值||lisp
GETSEL|根据图层和实体类型快速选择对象，通过选择样本对象获取同图层或同类型对象集||lisp
IMAGEEDIT|图像编辑命令，选择图像后调用外部编辑器修改，支持多种图像格式并自动更新路径||lisp
DATE|儒略日期转换工具集，实现日历日期与儒略日相互转换，并显示当前日期时间||lisp
LAYOUTMERGE|布局合并命令，将一个或多个布局中的对象移动到当前布局，并删除空的原布局||lisp
LMAN|图层状态管理器，通过对话框保存、恢复和管理图层状态设置||lisp
LSP|Lisp数据查询工具，列出当前加载的命令、函数和变量，支持通配符过滤和分类显示||lisp
LSPSURF|启动LISP源代码查看器，调用外部程序lspsurf.exe浏览和查看LISP文件内容||lisp
MKLTYPE|创建自定义线型工具，通过选择图形对象生成线型定义并保存到LIN文件||lisp
MKSHAPE|创建自定义形文件工具，将选定图形对象转换为SHP形定义，用于线型或字体制作||lisp
MOVEBAK|设置备份文件移动路径，指定BAK备份文件的存储目录，支持目录选择或取消备份移动||lisp
MPEDIT|批量多段线编辑，选择多个对象转换为多段线后统一进行编辑操作，过滤非多段线对象||lisp
MSTRETCH|多重拉伸命令，通过多个交叉窗口或交叉多边形选择对象进行批量拉伸操作，支持撤销||lisp
QQUIT|快速退出命令，关闭当前图纸并提示保存，支持多文档环境下快速关闭操作||lisp
REDIR|路径重定向工具，查找并替换图形中外部参照、图像等文件引用的目录路径||lisp
REVERT|恢复图纸命令，放弃当前修改，重新打开上次保存的图纸版本||lisp
RTEXT|创建远程文本对象，插入关联外部文本文件内容或动态文本，支持实时更新显示||lisp
RTUCS|实时UCS管理工具，支持动态切换坐标轴、保存恢复UCS、设置捕捉角度等交互操作||lisp
SAVEALL|保存所有打开图纸，遍历所有文档保存修改，未命名图纸提示另存为||lisp
SHP2BLK|将形文件转换为块，选择SHP形文件后插入为块参照，支持设置插入点和比例||lisp
TFRAMES|切换图像和擦除边框显示，SUPERHATCH创建超级填充图案||lisp
SSX|智能选择集过滤器，通过选择样本对象或设置条件快速创建选择集，支持多条件组合过滤||lisp
TCASE|文本大小写转换工具，批量修改文字、属性、标注等对象的大小写格式，支持多种转换模式||lisp
TEXTFIT|文本自适应调整，通过指定终点或起点拉伸或收缩单行文字，自动调整文字宽度||lisp
TEXTMASK|文字遮罩命令，使用擦除、实体或三维面创建文字背景遮罩，隐藏后方图形对象||lisp
TREX|修剪延伸组合命令，单击修剪对象，按住Shift单击延伸对象，快速切换两种编辑模式||lisp
TSPACEINVADERS|文字重叠检测工具，查找与文字对象重叠或干涉的几何图形，支持可视化验证||lisp
TXTEXP|文字分解命令，将文字转换为多段线轮廓，支持TrueType字体和SHX字体||lisp
VPSCALE|视口比例查询命令，计算并显示图纸空间视口相对于模型空间的缩放比例因子||lisp
VPSYNC|视口同步命令，将多个视口的视图方向、比例和中心点与主视口对齐，保持视图一致性||lisp
